"Coal shipments to the electric power sector: price, by plant state",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All coal : Florida,$/short ton,COAL.SHIP_PLANT_PRICE.FL-TOT.Q,64.07,68.35,74.03,74.83,79.73,82.09,81.18,80.61,84.94,84.44,80.71,82.91,84.57,86.66,83.93,84.39,83,84.58,83.94,83.32,81.38,83.78,79.61,80.26,79.09,81.1,79.43,77.33,73.11,72.24,73.81,73.77,70.03,71.85,70.49,70.28,70.61,68.91,67.59,70.93,68.93,68.14,67.03,68.9,68.48,69.06,67.13,64.13,61.74,59.62,57.7,57.74,57.01,56.57,66.07,69.54,77.17,72.02,98.67
All coal : Georgia,$/short ton,COAL.SHIP_PLANT_PRICE.GA-TOT.Q,59.79,65.36,68.56,71.02,75.25,77.74,81.66,80.37,82.85,86.39,80.9,88.2,80.89,79.32,79.04,78.65,74.09,71.09,71.76,68.27,64.14,63.11,59.57,63.93,60.16,61.28,64.77,61.06,55.45,60.34,59.65,58.18,56.29,58.24,57.15,54.72,55.36,56.26,53.85,56.68,54.56,55.33,54.05,52.47,53.18,52.52,54.52,51.32,54.13,53.91,53.54,53.5,55.47,52.39,57.43,57.05,64.07,67.16,80.81
All coal : Maryland,$/short ton,COAL.SHIP_PLANT_PRICE.MD-TOT.Q,69.08,95.61,112.54,90.81,80.14,72.89,78.24,72.33,83.33,82.57,90.3,86.45,90.61,91.28,91.93,91.89,88.84,85.46,89.14,93.39,92.76,86.76,81.31,80.97,76.72,75.51,72.92,71.82,75.42,72.28,72.17,68.91,67.87,70.9,74.53,72.4,72.72,66.82,62.65,62.32,65.48,62.66,64.73,63.29,68.89,64.65,65.76,66.54,65.27,58.46,69.37,66.94,64.52,67.17,64.41,79.53,70.88,90.98,217.79
All coal : North Carolina,$/short ton,COAL.SHIP_PLANT_PRICE.NC-TOT.Q,69.28,73.78,85.44,89.37,87.27,85.7,89.74,91.64,90.24,83.46,85.88,85.87,87.01,87.15,89.71,90.3,91.95,93.89,93.33,92.26,91.18,94.3,95.52,93.38,90.21,88.22,88.97,88,89.44,87.82,85.08,83.87,77.49,75.28,77.47,77.53,73.92,74.12,74.27,74.56,76.21,77.02,79.47,81.48,80.84,68.31,66.77,65.57,65.24,64.14,64.59,62.55,58.5,57.93,75.6,79.15,80.38,80.2,98.53
All coal : South Carolina,$/short ton,COAL.SHIP_PLANT_PRICE.SC-TOT.Q,58.65,61.88,81.32,82.23,94.61,93.96,88.77,87.83,92.3,95.49,93.69,90.19,93.2,91.83,98.66,97.36,99.8,98.41,98.01,99.71,95.25,93.29,94.77,93.01,92.57,90.63,90.49,90.1,89.9,88.95,87.8,86.94,81.48,80.65,76.54,80.57,82.3,80.19,81.97,83.33,83.3,81.71,80.76,82.28,80.73,81.1,78.35,79.53,76.57,80.53,82.44,76.66,70.85,67.59,71.57,80.25,86.98,77.55,90.64
All coal : Virginia,$/short ton,COAL.SHIP_PLANT_PRICE.VA-TOT.Q,65.31,66.04,70.36,69.68,76.29,75.59,78.35,77.21,80.98,82.13,84.75,82.93,86.44,87.83,90.2,87.57,93.52,94.43,85.61,79.12,78.48,79.09,71.83,75.05,76.3,76.93,75.96,73.94,70.07,70.35,63.04,68.95,67.36,61.96,68.06,64.4,61.45,60.12,66.13,61.43,63.03,61.53,61.38,59.67,68.36,66.41,67.45,60.53,49.88,52.27,53.02,55.64,48.48,61.37,47.61,50.72,53.78,58.52,69.08
All coal : West Virginia,$/short ton,COAL.SHIP_PLANT_PRICE.WV-TOT.Q,45.99,51.98,55.89,55.57,59.97,58.73,60.93,62.76,56.45,57.37,58.05,56.33,57.24,56.79,62.58,59.79,59.88,61.38,61.07,62.53,61.37,60.57,59.47,59.49,59.37,58.72,58.26,57.6,57.59,57.38,55.96,54.95,55.42,57.44,55.3,53.82,53.58,53.75,54.34,53.68,51.3,50.89,51.34,52.51,51.41,50.85,52.86,52.08,50.85,51.6,49.44,48.19,48.75,48.44,49.94,49.12,49.31,56.39,55.92
All coal : East South Central,$/short ton,COAL.SHIP_PLANT_PRICE.ESC-TOT.Q,44.96,48.17,55.99,57.55,56.16,51.33,51.79,51.05,54.42,53.93,56.17,55.48,54.9,56.79,58.88,56.59,56.59,57.62,58.3,56.36,53.26,54.28,53.09,52.76,52.85,53.75,54.21,51.7,49.62,49.74,49.14,47.24,46.8,46,46.2,44.56,42.5,43.15,45.04,43.23,43.82,43.03,43.02,43.39,44.04,42.87,42.35,41.84,39.09,41.02,41.2,40.46,38.67,40.8,40.92,42.61,46.19,46.23,56.9
All coal : Alabama,$/short ton,COAL.SHIP_PLANT_PRICE.AL-TOT.Q,45.56,50.18,64.3,66.2,61.51,52.48,54.14,54,60.36,58.5,59.82,59.96,56.42,61.29,63.29,58.32,60.63,62.95,64.12,61.38,55.12,57.63,58.07,55.72,54.35,56.73,57.84,50.31,49.66,50.13,49.79,47.86,47.97,46.82,46.38,42.35,41.57,42.57,43.82,41.18,44.69,44.34,43.48,43.74,43.63,42.79,43.56,43.06,34.73,38.43,41.5,40.59,39.38,40.96,39.91,40.53,42.84,44.05,59.01
All coal : Kentucky,$/short ton,COAL.SHIP_PLANT_PRICE.KY-TOT.Q,43.18,46.29,53.44,53.46,52.1,48.56,49.13,49.63,51.67,51.62,51.73,52.38,52.13,53.05,52.72,53.93,54.93,55.27,55.46,53.8,53.16,53.24,52.91,53.83,54.15,53.31,53.33,52.2,49.86,50.13,48.2,47.81,47.54,46.46,46.98,46.03,42.59,43.13,44.87,44.95,43.49,43.33,43.29,43.66,43.82,42.92,41.52,40.36,41.35,44.18,41.38,40.94,39.97,41.54,42.11,44.28,47.19,46.42,58.65
All coal : Mississippi,$/short ton,COAL.SHIP_PLANT_PRICE.MS-TOT.Q,51.35,54.9,57.05,60.28,53.78,53.53,52.77,46.14,43.03,49.62,56.74,47.19,62.58,57.4,62.59,57.85,57.62,71.6,57.42,59.83,55.85,62.8,51.32,44.55,45.65,51.11,51.54,57.08,42.01,38.77,48.13,34.97,30.65,30.2,36.94,36.27,35.99,35.66,40.3,31.51,36.84,31.84,34.7,34.35,39.31,35.87,36.9,37,31.39,32.35,35.49,36.78,29.93,35.83,34.65,34.78,46.09,40.2,40.44
All coal : Tennessee,$/short ton,COAL.SHIP_PLANT_PRICE.TN-TOT.Q,44.56,45.75,47.65,50.44,56.72,54.44,53.27,52.49,55.72,53.08,58.26,60.21,56.32,58.05,63.47,60.35,53.5,51.18,56.31,54.12,50.68,50.43,47.09,47.82,50.21,51.41,52.32,50.72,53.14,52.37,51.55,51.06,49.86,49.58,46.98,47.44,48.05,46.74,50.89,49.08,47.94,48.42,47.3,49.84,52.46,48.62,46.2,48.36,42.71,42.21,45.1,40.78,38.38,41.19,42.98,48.97,52.04,62.37,59.04
All coal : West South Central,$/short ton,COAL.SHIP_PLANT_PRICE.WSC-TOT.Q,25.56,26.06,26.88,26.4,27.68,27.2,27.94,27.71,29.88,29.56,29.4,28.74,30.56,30.13,30.42,30.74,31.88,32.47,31.96,31.37,34.01,34.08,33.03,32.35,33.86,33.14,33.56,32.61,33.9,32.58,34.08,31.71,30.12,28.93,30.77,30.36,30.02,29.55,29.14,29.87,30.52,29.29,30.04,31.35,30.94,31.09,28.96,27.62,30.06,28.71,31.28,28.96,31.33,32.53,36.18,31.37,35.43,35.41,36.49
All coal : Arkansas,$/short ton,COAL.SHIP_PLANT_PRICE.AR-TOT.Q,30.15,29.42,29.99,29.72,30.11,29.41,28.34,28.36,29.68,29.72,29.81,30.22,31.53,32.43,33.98,35.73,35.37,36.91,41.04,41.46,41.37,39.82,41.29,41.6,40.94,40.72,42.21,42.22,38.37,39.34,38.87,38.72,39.05,35.8,37.53,35.9,37.43,36.24,34.8,33.06,33.86,33.32,34.47,35.11,34.99,35.26,33.02,33.64,33.49,33.41,32.3,33.15,33.66,34.84,36.51,40.37,38.8,40.29,42.65
All coal : Louisiana,$/short ton,COAL.SHIP_PLANT_PRICE.LA-TOT.Q,33.83,35.68,35.11,32.86,33.21,32.48,33.82,34.26,35.33,34.29,36.24,34.8,38.06,39.64,40.17,38.83,39.26,40.29,41.61,41.52,43.02,42.63,43.52,41.5,39.76,40.11,41.55,41.3,40.3,41.32,45.16,51.77,41.37,42.82,43.29,46.18,37.69,36.7,36.76,65.33,37.14,44.11,45.29,61.29,47.81,50.34,47.24,51.61,42.98,60.99,105.42,61.03,58.42,65.85,137.89,55.87,44.13,50.2,53.46
All coal : Oklahoma,$/short ton,COAL.SHIP_PLANT_PRICE.OK-TOT.Q,22.35,22.86,23.6,23.74,29.16,28.01,28.38,28.02,28.63,29.99,29.45,29.71,29.87,30.3,31.34,31.71,35.05,33.72,34.26,33.96,35.3,35.08,34.95,34.41,33.67,34.38,34.25,33.73,34.65,34.21,33.91,33.68,33.15,33.75,32.42,33.65,33.95,32.85,30.96,31.54,30.46,31.14,31.36,31.63,30.94,29.8,28.43,29.66,27.84,26.97,26.89,29.31,28.78,29.52,29.5,31.82,43.24,46.38,46.38
All coal : Texas,$/short ton,COAL.SHIP_PLANT_PRICE.TX-TOT.Q,24.32,24.94,25.91,25.42,25.92,25.73,26.77,26.48,29.33,28.83,28.46,27.48,29.38,28.33,28.32,28.77,29.03,30.12,29.06,27.87,31.22,31.45,29.91,28.99,31.77,30.84,30.72,29.75,31.88,30.34,31.71,28.63,26.44,25.88,28.68,27.89,27.74,27.66,27.32,26.02,28.7,26.59,27.09,27.27,28.31,28.63,26.3,24.83,28.3,26.14,27.05,26.43,29.66,29.58,30.25,28.53,32.57,32.26,32.69
All coal : Mountain,$/short ton,COAL.SHIP_PLANT_PRICE.MTN-TOT.Q,26.83,28.72,28.24,29.32,29.46,31.4,29.99,28.85,30.37,30.05,30.82,30.81,32.12,34.21,34.65,33.61,34.22,34.3,35.55,33.97,34.67,35.31,36.6,37.19,35.83,36.62,36.41,46.71,34.82,35.92,34.88,34.74,34.43,36.05,34.94,34.87,34.61,34.86,34.45,34.96,33.09,36.64,37.48,36.57,36.88,37.39,37.12,34.06,34.62,35.05,37.05,36.46,35.35,33.83,37.06,37.59,38.57,38.85,40.35
All coal : Arizona,$/short ton,COAL.SHIP_PLANT_PRICE.AZ-TOT.Q,32.81,32.73,35.51,34.91,35.71,34.61,34.66,35.52,35.25,34.78,34.73,34.11,35.85,38.19,39.4,39.32,39.25,39.16,40.62,40.17,40.47,39.25,40.42,41.47,41.25,40.47,40.83,40.66,39.38,40.75,39.21,39.22,41.92,40.78,41.34,41.72,43.35,44.02,42.87,43.54,45.82,48.5,47.09,48.19,51.42,48.73,52.06,40.86,39.23,39.22,38.8,38.13,38.37,43.39,42.12,43.54,48.11,52.65,54.65
All coal : Colorado,$/short ton,COAL.SHIP_PLANT_PRICE.CO-TOT.Q,26.9,29.21,29.91,29.25,30.87,31.3,32.85,30.32,30.4,30.82,30.97,30.43,32.73,33.82,34.72,32.26,35.63,34.26,34.96,35.08,35.6,36.57,36.15,36.54,35.18,36.73,39.49,36.54,34.61,34.19,35.1,34.56,35.03,36.99,35.27,32.56,34.3,33.98,30.71,32.96,29.08,29.63,31.39,29.96,33.35,32.25,32.53,31.37,29.95,31.19,32.07,33.27,31.13,28.56,29.32,30,28.33,33.76,36.04
All coal : Idaho,$/short ton,COAL.SHIP_PLANT_PRICE.ID-TOT.Q,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
All coal : Montana,$/short ton,COAL.SHIP_PLANT_PRICE.MT-TOT.Q,16.13,17.02,16.85,17.8,16.67,16.97,19.81,18.79,19.31,17.58,19.91,17.44,21.84,25.41,24.06,20.01,20.81,18.44,29.82,21.61,22.34,24.5,33.77,27.24,23.85,32.38,21.13,21.78,24.78,26.54,21.03,21.48,24.53,34.71,25.93,21.72,26.5,32.36,23.5,22.34,17.83,24.96,27.34,22.95,19.77,27.14,25.48,23.37,26.69,27.11,25.96,26.83,27.53,26.13,27.73,28.98,29.99,30.1,30.34
All coal : Nevada,$/short ton,COAL.SHIP_PLANT_PRICE.NV-TOT.Q,44.5,47.51,48.67,46.56,46.79,45.49,47.04,47.3,53.45,53.1,50.76,49.79,54.06,54.37,54.29,52.22,51.8,52.75,50.8,50.92,51.79,48.24,53.27,50.37,50.7,51.49,51.81,52.71,49.72,49.89,49.39,46.75,44.22,46.3,47.06,46.58,41.06,41.06,50.89,41.06,41.21,52.1,52.93,53.9,53.73,54.19,51.98,49.7,45.07,49.87,45.67,45.64,43.16,47.48,47.7,50.14,60.96,60.26,60.75
All coal : New Mexico,$/short ton,COAL.SHIP_PLANT_PRICE.NM-TOT.Q,33.9,38.59,37.89,36.11,36.17,37.43,36.23,31.81,39.1,37.22,35.79,35.92,36.59,38.57,38.37,38.09,39.8,41.3,40.16,38.42,40.57,41.92,41.51,41.41,42.12,43.95,42.75,118.77,43.33,42,43.1,41.07,35.87,30.28,35.11,36.97,35.85,35.51,39.03,36.78,44.02,45.19,48.11,46.29,44.08,46.41,44.75,48.26,49.96,46.09,47.54,47.13,45.89,44.2,51.13,51.77,57.25,43.24,50.47
All coal : Utah,$/short ton,COAL.SHIP_PLANT_PRICE.UT-TOT.Q,29.82,29.85,29.09,31.71,32.87,35.34,34.97,31.69,33.6,33.89,43.21,38.81,39.42,39.63,40.25,37,43.4,42.49,43.04,41.78,44.95,45.44,44.84,45.4,46.7,46.14,46.73,46.35,42.57,42.7,42.96,41.33,43.23,43.52,41.69,40.99,42.08,42.04,42.22,42.36,44.69,44.36,44.29,43.07,43.19,43.8,43.21,42.7,45.91,45.45,44.88,44.1,44.24,43.83,44.46,43.31,47.58,47.59,47.98
All coal : Wyoming,$/short ton,COAL.SHIP_PLANT_PRICE.WY-TOT.Q,20.26,20.1,18.56,20.08,21.05,21.33,18.01,20.2,22.82,20.94,21.79,23.18,22.64,23.64,25.48,29.32,26.79,21.29,25.37,25.58,24.49,24.16,26.47,29.83,25.04,25.27,27.77,30.17,26.14,28.75,27.18,30.14,28.03,30.34,29.37,31.39,28.29,25.67,29.28,30.7,27.19,28.42,28.91,31.07,29.07,28.07,27.35,28.05,26.45,26.51,31.96,31.76,30.62,27.32,31.95,32.4,28.98,28.69,30.58
All coal : Pacific Contiguous,$/short ton,COAL.SHIP_PLANT_PRICE.PCC-TOT.Q,34.28,36.53,37.89,37.39,37.7,41.26,38.47,38.12,37.76,39.86,40.18,38.04,37.95,48.32,38.52,38.21,37.56,41.84,37.61,36.9,35.85,42.32,37.38,35.76,38.49,41,40.79,38.06,38.11,37.1,38.46,38.42,37.43,38.14,37.37,36.86,38,36.85,37.21,37.88,36.8,36.91,37.41,37.74,36.97,37.07,38.62,37.59,37.16,37.01,36.78,36.82,36.84,36.91,36.8,36.82,36.82,37.36,46.3
All coal : California,$/short ton,COAL.SHIP_PLANT_PRICE.CA-TOT.Q,72.01,69.79,71.35,66.64,77.61,74.17,69.17,69.41,74.4,71.92,72.27,72.04,75.31,74.25,75.32,72.73,84.1,78.45,74.31,75.98,73.91,73.96,73.54,--,72.99,75.03,74.51,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
All coal : Oregon,$/short ton,COAL.SHIP_PLANT_PRICE.OR-TOT.Q,23.4,24.48,24.15,24.66,29.5,28.75,29.14,30.03,27.37,27.58,28.55,28.61,30.56,29.77,29.82,29.73,31.58,--,31.86,31.68,32.12,35.35,33.73,33.18,41.28,42.76,43.48,42.78,42.07,37.71,41.61,41.14,40.08,39.2,38.87,37.47,41.37,--,39.12,40.32,--,37.63,39.62,40.91,37.37,37.62,42.99,39.69,37.6,37.68,--,--,--,--,--,--,--,--,--
All coal : Washington,$/short ton,COAL.SHIP_PLANT_PRICE.WA-TOT.Q,32.21,35.87,38.33,37.86,36.54,34.4,35.17,35.86,37.32,37.47,37.4,37.39,37.02,36.76,36.78,36.91,36.82,36.83,37.1,37.47,36.85,36.84,36.81,36.52,36.47,36.62,36.5,36.52,36.75,36.9,36.83,36.75,36.69,36.83,36.73,36.76,36.87,36.85,36.78,36.8,36.8,36.88,36.81,36.77,36.85,36.88,36.87,36.94,36.96,36.9,36.78,36.82,36.84,36.91,36.8,36.82,36.82,37.36,46.3
All coal : Pacific Noncontiguous,$/short ton,COAL.SHIP_PLANT_PRICE.PCN-TOT.Q,34.42,87.26,51.53,49.21,43.37,57.97,51.54,45.08,41.87,40.81,40.24,50.06,50.52,57.1,46.66,52.36,80.7,81.16,76.63,73.37,76.13,78.78,82.07,78.35,83.96,80.71,79.44,78.53,77.38,70.96,69.87,67.94,67.87,70.16,62.61,62.46,64.32,67.74,69.35,76.05,83.18,80.49,83.46,78.04,68.87,69.5,66.8,67.66,69.21,73.66,72.64,66.25,68.04,74.05,70.01,68.14,74.48,72.58,92.18
All coal : Alaska,$/short ton,COAL.SHIP_PLANT_PRICE.AK-TOT.Q,27.56,29.61,32.16,32.21,22.52,23.39,22.75,22.8,21.7,22.35,22.39,22.53,26.03,27.6,27.46,27.31,--,--,--,--,--,--,--,--,--,--,--,--,--,42.8,42.43,50.2,44.88,44.4,41.75,44.4,42.25,41.56,43.31,45.11,43.26,49.56,46.97,46.86,49.41,47.58,52.14,52.02,50.54,50.38,44.83,50.14,50.02,48.3,47.44,50.51,59.74,54.75,55.12
All coal : Hawaii,$/short ton,COAL.SHIP_PLANT_PRICE.HI-TOT.Q,64.6,117.23,59.73,58.47,54.78,75.39,66.64,56.46,57.75,55.2,50.95,71.73,69.04,69.46,69.02,68.11,80.7,81.16,76.63,73.37,76.13,78.78,82.07,78.35,83.96,80.71,79.44,78.53,77.38,74.96,77.33,77.87,75.42,76.18,65.71,66.29,72.55,70.9,76.01,83.66,91.92,87.36,99.19,95.55,79.95,76.18,77.12,74.21,77.22,84.49,82.89,76.76,83.01,85.34,84.94,77.61,83.65,84.94,356.9
