DATE,DGS10
10/2/2020,0.7
10/5/2020,0.78
10/6/2020,0.76
10/7/2020,0.81
10/8/2020,0.78
10/9/2020,0.79
10/12/2020,.
10/13/2020,0.74
10/14/2020,0.73
10/15/2020,0.74
10/16/2020,0.76
10/19/2020,0.78
10/20/2020,0.81
10/21/2020,0.83
10/22/2020,0.87
10/23/2020,0.85
10/26/2020,0.81
10/27/2020,0.79
10/28/2020,0.79
10/29/2020,0.85
10/30/2020,0.88
11/2/2020,0.87
11/3/2020,0.9
11/4/2020,0.78
11/5/2020,0.79
11/6/2020,0.83
11/9/2020,0.96
11/10/2020,0.98
11/11/2020,.
11/12/2020,0.88
11/13/2020,0.89
11/16/2020,0.91
11/17/2020,0.87
11/18/2020,0.88
11/19/2020,0.86
11/20/2020,0.83
11/23/2020,0.86
11/24/2020,0.88
11/25/2020,0.88
11/26/2020,.
11/27/2020,0.84
11/30/2020,0.84
12/1/2020,0.92
12/2/2020,0.95
12/3/2020,0.92
12/4/2020,0.97
12/7/2020,0.94
12/8/2020,0.92
12/9/2020,0.95
12/10/2020,0.92
12/11/2020,0.9
12/14/2020,0.9
12/15/2020,0.92
12/16/2020,0.92
12/17/2020,0.94
12/18/2020,0.95
12/21/2020,0.95
12/22/2020,0.93
12/23/2020,0.96
12/24/2020,0.94
12/25/2020,.
12/28/2020,0.94
12/29/2020,0.94
12/30/2020,0.93
12/31/2020,0.93
1/1/2021,.
1/4/2021,0.93
1/5/2021,0.96
1/6/2021,1.04
1/7/2021,1.08
1/8/2021,1.13
1/11/2021,1.15
1/12/2021,1.15
1/13/2021,1.1
1/14/2021,1.15
1/15/2021,1.11
1/18/2021,.
1/19/2021,1.1
1/20/2021,1.1
1/21/2021,1.12
1/22/2021,1.1
1/25/2021,1.05
1/26/2021,1.05
1/27/2021,1.04
1/28/2021,1.07
1/29/2021,1.11
2/1/2021,1.09
2/2/2021,1.12
2/3/2021,1.15
2/4/2021,1.15
2/5/2021,1.19
2/8/2021,1.19
2/9/2021,1.18
2/10/2021,1.15
2/11/2021,1.16
2/12/2021,1.2
2/15/2021,.
2/16/2021,1.3
2/17/2021,1.29
2/18/2021,1.29
2/19/2021,1.34
2/22/2021,1.37
2/23/2021,1.37
2/24/2021,1.38
2/25/2021,1.54
2/26/2021,1.44
3/1/2021,1.45
3/2/2021,1.42
3/3/2021,1.47
3/4/2021,1.54
3/5/2021,1.56
3/8/2021,1.59
3/9/2021,1.55
3/10/2021,1.53
3/11/2021,1.54
3/12/2021,1.64
3/15/2021,1.62
3/16/2021,1.62
3/17/2021,1.63
3/18/2021,1.71
3/19/2021,1.74
3/22/2021,1.69
3/23/2021,1.63
3/24/2021,1.62
3/25/2021,1.63
3/26/2021,1.67
3/29/2021,1.73
3/30/2021,1.73
3/31/2021,1.74
4/1/2021,1.69
4/2/2021,1.72
4/5/2021,1.73
4/6/2021,1.67
4/7/2021,1.68
4/8/2021,1.64
4/9/2021,1.67
4/12/2021,1.69
4/13/2021,1.64
4/14/2021,1.64
4/15/2021,1.56
4/16/2021,1.59
4/19/2021,1.61
4/20/2021,1.58
4/21/2021,1.57
4/22/2021,1.57
4/23/2021,1.58
4/26/2021,1.58
4/27/2021,1.63
4/28/2021,1.63
4/29/2021,1.65
4/30/2021,1.65
5/3/2021,1.63
5/4/2021,1.61
5/5/2021,1.59
5/6/2021,1.58
5/7/2021,1.6
5/10/2021,1.63
5/11/2021,1.64
5/12/2021,1.69
5/13/2021,1.66
5/14/2021,1.63
5/17/2021,1.64
5/18/2021,1.64
5/19/2021,1.68
5/20/2021,1.63
5/21/2021,1.63
5/24/2021,1.61
5/25/2021,1.56
5/26/2021,1.58
5/27/2021,1.61
5/28/2021,1.58
5/31/2021,.
6/1/2021,1.62
6/2/2021,1.59
6/3/2021,1.63
6/4/2021,1.56
6/7/2021,1.57
6/8/2021,1.53
6/9/2021,1.5
6/10/2021,1.45
6/11/2021,1.47
6/14/2021,1.51
6/15/2021,1.51
6/16/2021,1.57
6/17/2021,1.52
6/18/2021,1.45
6/21/2021,1.5
6/22/2021,1.48
6/23/2021,1.5
6/24/2021,1.49
6/25/2021,1.54
6/28/2021,1.49
6/29/2021,1.49
6/30/2021,1.45
7/1/2021,1.48
7/2/2021,1.44
7/5/2021,.
7/6/2021,1.37
7/7/2021,1.33
7/8/2021,1.3
7/9/2021,1.37
7/12/2021,1.38
7/13/2021,1.42
7/14/2021,1.37
7/15/2021,1.31
7/16/2021,1.31
7/19/2021,1.19
7/20/2021,1.23
7/21/2021,1.3
7/22/2021,1.27
7/23/2021,1.3
7/26/2021,1.29
7/27/2021,1.25
7/28/2021,1.26
7/29/2021,1.28
7/30/2021,1.24
8/2/2021,1.2
8/3/2021,1.19
8/4/2021,1.19
8/5/2021,1.23
8/6/2021,1.31
8/9/2021,1.33
8/10/2021,1.36
8/11/2021,1.35
8/12/2021,1.36
8/13/2021,1.29
8/16/2021,1.26
8/17/2021,1.26
8/18/2021,1.27
8/19/2021,1.24
8/20/2021,1.26
8/23/2021,1.25
8/24/2021,1.29
8/25/2021,1.35
8/26/2021,1.34
8/27/2021,1.31
8/30/2021,1.29
8/31/2021,1.3
9/1/2021,1.31
9/2/2021,1.29
9/3/2021,1.33
9/6/2021,.
9/7/2021,1.38
9/8/2021,1.35
9/9/2021,1.3
9/10/2021,1.35
9/13/2021,1.33
9/14/2021,1.28
9/15/2021,1.31
9/16/2021,1.34
9/17/2021,1.37
9/20/2021,1.31
9/21/2021,1.33
9/22/2021,1.32
9/23/2021,1.41
9/24/2021,1.47
9/27/2021,1.48
9/28/2021,1.54
9/29/2021,1.55
9/30/2021,1.52
10/1/2021,1.48
10/4/2021,1.49
10/5/2021,1.54
10/6/2021,1.53
10/7/2021,1.58
10/8/2021,1.61
10/11/2021,.
10/12/2021,1.59
10/13/2021,1.56
10/14/2021,1.52
10/15/2021,1.59
10/18/2021,1.59
10/19/2021,1.65
10/20/2021,1.65
10/21/2021,1.68
10/22/2021,1.66
10/25/2021,1.64
10/26/2021,1.63
10/27/2021,1.54
10/28/2021,1.57
10/29/2021,1.55
11/1/2021,1.58
11/2/2021,1.56
11/3/2021,1.6
11/4/2021,1.53
11/5/2021,1.45
11/8/2021,1.51
11/9/2021,1.46
11/10/2021,1.56
11/11/2021,.
11/12/2021,1.58
11/15/2021,1.63
11/16/2021,1.63
11/17/2021,1.6
11/18/2021,1.59
11/19/2021,1.54
11/22/2021,1.63
11/23/2021,1.67
11/24/2021,1.64
11/25/2021,.
11/26/2021,1.48
11/29/2021,1.52
11/30/2021,1.43
12/1/2021,1.43
12/2/2021,1.44
12/3/2021,1.35
12/6/2021,1.43
12/7/2021,1.48
12/8/2021,1.52
12/9/2021,1.49
12/10/2021,1.48
12/13/2021,1.42
12/14/2021,1.44
12/15/2021,1.47
12/16/2021,1.44
12/17/2021,1.41
12/20/2021,1.43
12/21/2021,1.48
12/22/2021,1.46
12/23/2021,1.5
12/24/2021,.
12/27/2021,1.48
12/28/2021,1.49
12/29/2021,1.55
12/30/2021,1.52
12/31/2021,1.52
1/3/2022,1.63
1/4/2022,1.66
1/5/2022,1.71
1/6/2022,1.73
1/7/2022,1.76
1/10/2022,1.78
1/11/2022,1.75
1/12/2022,1.74
1/13/2022,1.7
1/14/2022,1.78
1/17/2022,.
1/18/2022,1.87
1/19/2022,1.83
1/20/2022,1.83
1/21/2022,1.75
1/24/2022,1.75
1/25/2022,1.78
1/26/2022,1.85
1/27/2022,1.81
1/28/2022,1.78
1/31/2022,1.79
2/1/2022,1.81
2/2/2022,1.78
2/3/2022,1.82
2/4/2022,1.93
2/7/2022,1.92
2/8/2022,1.96
2/9/2022,1.94
2/10/2022,2.03
2/11/2022,1.92
2/14/2022,1.98
2/15/2022,2.05
2/16/2022,2.03
2/17/2022,1.97
2/18/2022,1.92
2/21/2022,.
2/22/2022,1.94
2/23/2022,1.99
2/24/2022,1.96
2/25/2022,1.97
2/28/2022,1.83
3/1/2022,1.72
3/2/2022,1.86
3/3/2022,1.86
3/4/2022,1.74
3/7/2022,1.78
3/8/2022,1.86
3/9/2022,1.94
3/10/2022,1.98
3/11/2022,2
3/14/2022,2.14
3/15/2022,2.15
3/16/2022,2.19
3/17/2022,2.2
3/18/2022,2.14
3/21/2022,2.32
3/22/2022,2.38
3/23/2022,2.32
3/24/2022,2.34
3/25/2022,2.48
3/28/2022,2.46
3/29/2022,2.41
3/30/2022,2.35
3/31/2022,2.32
4/1/2022,2.39
4/4/2022,2.42
4/5/2022,2.54
4/6/2022,2.61
4/7/2022,2.66
4/8/2022,2.72
4/11/2022,2.79
4/12/2022,2.72
4/13/2022,2.7
4/14/2022,2.83
4/15/2022,.
4/18/2022,2.85
4/19/2022,2.93
4/20/2022,2.85
4/21/2022,2.9
4/22/2022,2.9
4/25/2022,2.81
4/26/2022,2.77
4/27/2022,2.82
4/28/2022,2.85
4/29/2022,2.89
5/2/2022,2.99
5/3/2022,2.97
5/4/2022,2.93
5/5/2022,3.05
5/6/2022,3.12
5/9/2022,3.05
5/10/2022,2.99
5/11/2022,2.91
5/12/2022,2.84
5/13/2022,2.93
5/16/2022,2.88
5/17/2022,2.98
5/18/2022,2.89
5/19/2022,2.84
5/20/2022,2.78
5/23/2022,2.86
5/24/2022,2.76
5/25/2022,2.75
5/26/2022,2.75
5/27/2022,2.74
5/30/2022,.
5/31/2022,2.85
6/1/2022,2.94
6/2/2022,2.92
6/3/2022,2.96
6/6/2022,3.04
6/7/2022,2.98
6/8/2022,3.03
6/9/2022,3.04
6/10/2022,3.15
6/13/2022,3.43
6/14/2022,3.49
6/15/2022,3.33
6/16/2022,3.28
6/17/2022,3.25
6/20/2022,.
6/21/2022,3.31
6/22/2022,3.16
6/23/2022,3.09
6/24/2022,3.13
6/27/2022,3.2
6/28/2022,3.2
6/29/2022,3.1
6/30/2022,2.98
7/1/2022,2.88
7/4/2022,.
7/5/2022,2.82
7/6/2022,2.93
7/7/2022,3.01
7/8/2022,3.09
7/11/2022,2.99
7/12/2022,2.96
7/13/2022,2.91
7/14/2022,2.96
7/15/2022,2.93
7/18/2022,2.96
7/19/2022,3.01
7/20/2022,3.04
7/21/2022,2.91
7/22/2022,2.77
7/25/2022,2.81
7/26/2022,2.81
7/27/2022,2.78
7/28/2022,2.68
7/29/2022,2.67
8/1/2022,2.6
8/2/2022,2.75
8/3/2022,2.73
8/4/2022,2.68
8/5/2022,2.83
8/8/2022,2.77
8/9/2022,2.8
8/10/2022,2.78
8/11/2022,2.87
8/12/2022,2.84
8/15/2022,2.79
8/16/2022,2.82
8/17/2022,2.89
8/18/2022,2.88
8/19/2022,2.98
8/22/2022,3.03
8/23/2022,3.05
8/24/2022,3.11
8/25/2022,3.03
8/26/2022,3.04
8/29/2022,3.12
8/30/2022,3.11
8/31/2022,3.15
9/1/2022,3.26
9/2/2022,3.2
9/5/2022,.
9/6/2022,3.33
9/7/2022,3.27
9/8/2022,3.29
9/9/2022,3.33
9/12/2022,3.37
9/13/2022,3.42
9/14/2022,3.41
9/15/2022,3.45
9/16/2022,3.45
9/19/2022,3.49
9/20/2022,3.57
9/21/2022,3.51
9/22/2022,3.7
9/23/2022,3.69
9/26/2022,3.88
9/27/2022,3.97
9/28/2022,3.72
9/29/2022,3.76
9/30/2022,3.83
10/3/2022,3.67
10/4/2022,3.62
10/5/2022,3.76
10/6/2022,3.83
10/7/2022,3.89
10/10/2022,.
10/11/2022,3.93
10/12/2022,3.91
10/13/2022,3.97
10/14/2022,4
10/17/2022,4.02
10/18/2022,4.01
10/19/2022,4.14
10/20/2022,4.24
10/21/2022,4.21
10/24/2022,4.25
10/25/2022,4.1
10/26/2022,4.04
10/27/2022,3.96
10/28/2022,4.02
10/31/2022,4.1
11/1/2022,4.07
11/2/2022,4.1
11/3/2022,4.14
11/4/2022,4.17
11/7/2022,4.22
11/8/2022,4.14
11/9/2022,4.12
11/10/2022,3.82
11/11/2022,.
11/14/2022,3.88
11/15/2022,3.8
11/16/2022,3.67
11/17/2022,3.77
11/18/2022,3.82
11/21/2022,3.83
11/22/2022,3.76
11/23/2022,3.71
11/24/2022,.
11/25/2022,3.68
11/28/2022,3.69
11/29/2022,3.75
11/30/2022,3.68
12/1/2022,3.53
12/2/2022,3.51
12/5/2022,3.6
12/6/2022,3.51
12/7/2022,3.42
12/8/2022,3.48
12/9/2022,3.57
12/12/2022,3.61
12/13/2022,3.51
12/14/2022,3.49
12/15/2022,3.44
12/16/2022,3.48
12/19/2022,3.57
12/20/2022,3.69
12/21/2022,3.68
12/22/2022,3.67
12/23/2022,3.75
12/26/2022,.
12/27/2022,3.84
12/28/2022,3.88
12/29/2022,3.83
12/30/2022,3.88
1/2/2023,.
1/3/2023,3.79
1/4/2023,3.69
1/5/2023,3.71
1/6/2023,3.55
1/9/2023,3.53
1/10/2023,3.61
1/11/2023,3.54
1/12/2023,3.43
1/13/2023,3.49
1/16/2023,.
1/17/2023,3.53
1/18/2023,3.37
1/19/2023,3.39
1/20/2023,3.48
1/23/2023,3.52
1/24/2023,3.46
1/25/2023,3.46
1/26/2023,3.49
1/27/2023,3.52
1/30/2023,3.55
1/31/2023,3.52
2/1/2023,3.39
2/2/2023,3.4
2/3/2023,3.53
2/6/2023,3.63
2/7/2023,3.67
2/8/2023,3.63
2/9/2023,3.67
2/10/2023,3.74
2/13/2023,3.72
2/14/2023,3.77
2/15/2023,3.81
2/16/2023,3.86
2/17/2023,3.82
2/20/2023,.
2/21/2023,3.95
2/22/2023,3.93
2/23/2023,3.88
2/24/2023,3.95
2/27/2023,3.92
2/28/2023,3.92
3/1/2023,4.01
3/2/2023,4.08
3/3/2023,3.97
3/6/2023,3.98
3/7/2023,3.97
3/8/2023,3.98
3/9/2023,3.93
3/10/2023,3.7
3/13/2023,3.55
3/14/2023,3.64
3/15/2023,3.51
3/16/2023,3.56
3/17/2023,3.39
3/20/2023,3.47
3/21/2023,3.59
3/22/2023,3.48
3/23/2023,3.38
3/24/2023,3.38
3/27/2023,3.53
3/28/2023,3.55
3/29/2023,3.57
3/30/2023,3.55
